customer,total_items,discount%,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,number_orders,label,class
0,44.666666666666664,14.11,14.069999999999999,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0,4,Beauty_buyers
1,31.15,17.849,17.762,52.909000000000006,17.760999999999996,3.2075000000000005,2.3145,4.351999999999999,1.6949999999999998,0.0,20.0,7,fresh_regulars
2,26.0,2.97,24.1,22.29,38.69,14.92,0.0,0.0,0.0,0.0,1.0,1,drink_buyers
3,27.782608695652176,4.102173913043479,23.825652173913046,51.280869565217394,8.220869565217392,14.773478260869567,0.0,0.0,1.8986956521739131,0.0,23.0,7,fresh_regulars
4,17.103448275862068,4.373103448275862,24.841379310344823,51.08241379310345,10.291034482758619,13.035172413793102,0.6837931034482758,0.0,0.06551724137931034,0.0,29.0,7,fresh_regulars
5,21.0,11.76,6.84,0.0,24.02,26.87,10.21,0.0,32.06,0.0,1.0,1,drink_buyers
6,40.76923076923077,2.683846153846154,39.315384615384616,23.766923076923078,19.72153846153846,5.633076923076923,2.1884615384615382,0.0,6.617692307692308,2.7569230769230773,13.0,7,fresh_regulars
7,40.0,0.93,23.7,52.54,13.93,0.0,9.83,0.0,0.0,0.0,1.0,4,Beauty_buyers
8,35.25,23.67,24.091250000000002,37.56625,22.392500000000002,12.03375,3.9175,0.0,0.0,0.0,8.0,7,fresh_regulars
9,17.75,3.004166666666667,9.296666666666667,64.83999999999999,14.153333333333334,3.2575,2.4391666666666665,5.39,0.625,0.0,12.0,7,fresh_regulars
10,24.5,11.434999999999999,7.1499999999999995,0.0,0.0,38.31,51.45,3.085,0.0,0.0,2.0,3,discount_customers
11,46.8,17.497999999999998,31.646000000000004,5.223999999999999,4.274,12.878,5.016,3.686,36.898,0.0,5.0,1,drink_buyers
12,36.22222222222222,1.961111111111111,26.69888888888889,3.5933333333333337,19.321111111111108,14.591111111111111,1.2633333333333334,0.14444444444444446,34.38666666666667,0.0,9.0,7,fresh_regulars
13,32.0,0.0,0.0,76.95,0.0,0.0,8.28,0.0,14.77,0.0,1.0,4,Beauty_buyers
14,33.285714285714285,3.36,40.201428571428565,18.102857142857143,12.04857142857143,14.247142857142856,10.541428571428572,0.0,4.855714285714285,0.0,7.0,1,drink_buyers
15,25.0,10.98,0.0,12.29,25.54,51.25,6.73,4.19,0.0,0.0,1.0,3,discount_customers
16,16.0,14.0,0.0,51.12,28.3,20.58,0.0,0.0,0.0,0.0,1.0,4,Beauty_buyers
17,53.0,18.1,11.65,37.46,12.65,0.0,0.0,0.0,38.24,0.0,1.0,4,Beauty_buyers
18,20.6,17.449999999999996,19.776,45.038,21.022000000000002,10.374,3.7920000000000003,0.0,0.0,0.0,5.0,4,Beauty_buyers
19,28.0,16.96,11.696666666666665,40.056666666666665,35.300000000000004,11.926666666666668,0.0,0.0,1.02,0.0,3.0,4,Beauty_buyers
20,48.0,3.9400000000000004,30.215,13.69,21.270000000000003,20.725,0.0,7.99,6.115,0.0,2.0,1,drink_buyers
21,19.0,0.7875000000000001,28.737500000000004,0.0,30.552500000000002,34.2,5.6425,0.0,0.8675,0.0,4.0,1,drink_buyers
22,31.5,2.1025,18.39,20.712500000000002,21.3475,17.497500000000002,16.214999999999996,3.7,2.135,0.0,4.0,1,drink_buyers
23,28.0,0.0,6.98,84.96,8.06,0.0,0.0,0.0,0.0,0.0,1.0,4,Beauty_buyers
24,14.0,7.49,67.74,0.0,0.0,32.26,0.0,0.0,0.0,0.0,1.0,1,drink_buyers
25,32.75,4.8975,14.43,24.827499999999997,21.915,23.435,10.282499999999999,5.115,0.0,0.0,4.0,1,drink_buyers
26,25.0,0.0,6.88,0.0,24.65,43.58,3.7,0.0,0.0,21.19,1.0,3,discount_customers
27,24.0,2.811666666666667,30.258333333333326,22.345,41.376666666666665,5.328333333333333,0.6916666666666668,0.0,0.0,0.0,6.0,1,drink_buyers
28,8.5,15.344999999999999,30.05,0.0,8.735,61.215,0.0,0.0,0.0,0.0,2.0,3,discount_customers
29,39.666666666666664,7.7700000000000005,18.225,13.985,15.951666666666666,20.138333333333332,4.751666666666666,0.0,26.94666666666667,0.0,6.0,1,drink_buyers
30,26.0,9.91,82.54,0.0,0.0,17.46,0.0,0.0,0.0,0.0,1.0,1,drink_buyers
31,53.5,4.85,25.7,23.32,21.485,15.395,6.17,7.925,0.0,0.0,2.0,1,drink_buyers
32,80.0,2.78,23.13,17.26,40.4,6.15,4.68,5.16,3.2,0.0,1.0,1,drink_buyers
33,30.6,4.542,22.020000000000003,26.048000000000002,28.656,16.892,4.79,0.0,1.59,0.0,5.0,1,drink_buyers
34,27.0,25.95,22.27,0.0,51.86,6.15,0.0,19.72,0.0,0.0,1.0,6,pets_lovers
35,31.0,2.9324999999999997,34.12,0.0,31.1375,34.7425,0.0,0.0,0.0,0.0,4.0,1,drink_buyers
36,42.0,7.48,28.01,6.23,30.64,20.6,14.52,0.0,0.0,0.0,1.0,1,drink_buyers
37,22.333333333333332,13.663333333333334,8.296666666666667,0.0,0.0,45.28333333333333,40.943333333333335,5.476666666666667,0.0,0.0,3.0,3,discount_customers
